id,location_name,location_type,description,x_coordinate,y_coordinate,created_at
1,Maths department,Department,Campus academic department,5.654102657067627,-0.18453062161633568,2026-01-10 08:00:00
2,Computer science department,Department,Campus academic department,5.654777326891126,-0.18379586209320153,2026-01-10 08:01:00
3,Statistics department,Department,Campus academic department,5.6541010804257565,-0.18385826394455274,2026-01-10 08:02:00
4,ISSSER,Department,Institute of Statistical,5.6555102967727215,-0.1844866639445337,2026-01-10 08:03:00
5,Law school,Department,Faculty of law,5.654434603653941,-0.1832938062727664,2026-01-10 08:04:00
6,ISSER ANNEX,Department,Annex for ISSER activities,5.654780463301235,-0.18435356209320067,2026-01-10 08:05:00
7,School of engineering,Department,Engineering faculty unit,5.655612604745153,-0.18308327871649077,2026-01-10 08:06:00
8,Office of risk management,Office,Campus risk and compliance office,5.655612604745153,-0.18308327871649077,2026-01-10 08:07:00
9,Center for urban management studies,Department,Academic research center,5.654718563862941,-0.18267032169894046,2026-01-10 08:08:00
10,International house,Office,International affairs office,5.653619930562785,-0.1819656867360248,2026-01-10 08:09:00
11,K. A Busia,lecture hall,lecture halls,5.653012369462309,-0.18278508308474756,2026-01-10 08:10:00
12,"JQB ( Jones Quartey Building )",Lecture hall,Academic building,5.652279183974881,-0.18179813510097473,2026-01-10 08:11:00
13,RT HON ALBAN BAGBIN hotspot zone,Office,Campus hotspot zone,5.652279183974881,-0.18179813510097473,2026-01-10 08:12:00
14,Department of archaeology and heritage studies,Department,Academic department,5.651657060869677,-0.1811483781079745,2026-01-10 08:13:00
15,Department of communication studies,Department,Academic department,5.652368501745012,-0.18131509776532545,2026-01-10 08:14:00
16,School of information and communication studies,Department,Academic school,5.6512247139315495,-0.18129604702607663,2026-01-10 08:15:00
17,School of education and leadership,Department,Academic school,5.65093980147762,-0.18112929611891873,2026-01-10 08:16:00
18,Institute of African studies,Department,Academic institute,5.651089136585624,-0.18194333993235706,2026-01-10 08:17:00
19,Institute of continuing and distance education,Department,Academic institute,5.65093980147762,-0.18112929611891873,2026-01-10 08:18:00
20,Department of geography,Department,Academic department,5.651064672349083,-0.183257261691052,2026-01-10 08:19:00
21,Department of earth science,Department,Academic department,5.651069162318891,-0.18413596288173978,2026-01-10 08:20:00
22,Legon centre for international affairs and diplomacy (LECIAD),Department,Academic center,5.652099462392268,-0.1840179456825479,2026-01-10 08:21:00
23,African regional postgraduate programme in insect science (ARPPIS),Department,Academic programme,5.652884197486056,-0.1841520561298046,2026-01-10 08:22:00
24,Department of family and consumer sciences (Annex),Department,Academic department,5.650285501219426,-0.18398740750524722,2026-01-10 08:23:00
25,Department of chemistry,Department,Academic department,5.652741670977363,-0.1855424888112739,2026-01-10 08:24:00
26,Department of physics,Department,Academic department,5.651559074665454,-0.1860909599369005,2026-01-10 08:25:00
27,Absa bank,Office,Banking facility,5.654408725288541,-0.17896612875658624,2026-01-10 08:26:00
28,Standard chartered,Office,Banking facility,5.654408725288541,-0.17896612875658624,2026-01-10 08:27:00
29,Balme library,Library,Main university library,5.651951645470568,-0.18709203520020076,2026-01-10 08:28:00
30,UG bookshop,Office,Campus bookstore,5.6511159920674325,-0.1867239612637019,2026-01-10 08:29:00
31,Department of economics,Department,Academic department,5.651308758255583,-0.18740629092914543,2026-01-10 08:30:00
32,Office of student affairs,Office,Student services office,5.651308758255583,-0.18740629092914543,2026-01-10 08:31:00
33,Cedi conference center,Office,Conference venue,5.651796364790343,-0.18824903325732031,2026-01-10 08:32:00
34,Department of philosophy and classics,Department,Academic department,5.650992170497205,-0.18843576445828175,2026-01-10 08:33:00
35,Department for the study of religions,Department,Academic department,5.650992170497205,-0.18843576445828175,2026-01-10 08:34:00
36,Department of African and Asian languages,Department,Academic department,5.650992170497205,-0.18843576445828175,2026-01-10 08:35:00
37,Department of European languages,Department,Academic department,5.650992170497205,-0.18843576445828175,2026-01-10 08:36:00
38,Department of French,Department,Academic department,5.650992170497205,-0.18843576445828175,2026-01-10 08:37:00
39,Volta hall,Hall,Student residence hall,5.6520392103161,-0.18981578116564185,2026-01-10 08:38:00
40,UGBS,Department,University of Ghana Business School,5.652940348801192,-0.18864506178290913,2026-01-10 08:39:00
41,Staff development and learning resource center,Office,Learning support center,5.653000110382317,-0.18949391608916547,2026-01-10 08:40:00
42,LOT lecture hall,Lecture Hall,Large lecture hall,5.653490736174037,-0.18949416344201056,2026-01-10 08:41:00
43,School of nursing and midwifery,Department,Academic school,5.653843761572608,-0.19018317489842543,2026-01-10 08:42:00
44,Department of nutrition and food science,Department,Academic department,,,2026-01-10 08:43:00
45,School of pharmacy,Department,Academic school,5.654153384141951,-0.1892712238327278,2026-01-10 08:44:00
46,St Thomas aquinas Catholic Church,Office,Religious center,5.655060897584616,-0.19014025954071206,2026-01-10 08:45:00
47,Department of biochemistry and molecular biology,Department,Academic department,5.655020104322201,-0.18955171966444836,2026-01-10 08:46:00
48,New N-Block(NNB),Lecture Hall,Lecture hall complex,5.6561304718529914,-0.18798530962289656,2026-01-10 08:47:00
49,GCB,Lecture Hall,Lecture hall complex,5.655179288182922,-0.1884037681106014,2026-01-10 08:48:00
50,Department of marine and fishery science,Department,Academic department,5.653797919149254,-0.1884731353180814,2026-01-10 08:49:00
51,School of social sciences,Department,Academic school,5.654922629641397,-0.18751053139089877,2026-01-10 08:50:00
52,Department of information studies,Department,Academic department,5.655259162660574,-0.18709549365061268,2026-01-10 08:51:00
53,Department of political science,Department,Academic department,5.654758668489074,-0.18640752839099994,2026-01-10 08:52:00
54,New Block (NB),Lecture Hall,Lecture hall complex,5.654682977220522,-0.1870263206938983,2026-01-10 08:53:00
55,Center for biodiversity conservation research,Department,Academic research center,,,2026-01-10 08:54:00
56,Department of plant and environmental biology,Department,Academic department,5.653905165666113,-0.18626383399149435,2026-01-10 08:55:00
57,Akuafo hall,Hall,Student residence hall,5.650690211929936,-0.18566049092913287,2026-01-10 08:56:00
58,Legon hall,Hall,Student residence hall,5.650072623600693,-0.18841155500720336,2026-01-10 08:57:00
59,"Legon hall annex A,B",Hall,Student residence annex,5.6471892064664155,-0.18849217928819326,2026-01-10 08:58:00
60,Department of soil science,Department,Academic department,5.650546985285983,-0.18564648537106185,2026-01-10 08:59:00
61,Department of crop science,Department,Academic department,5.650275475129729,-0.18476951898449287,2026-01-10 09:00:00
