id,from_location_id,to_location_id,distance_km,travel_time_minutes,road_condition,created_at
1,1,2,0.80,6,Excellent,2026-01-10 09:00:00
2,2,1,0.80,6,Excellent,2026-01-10 09:01:00
3,1,4,1.00,8,Good,2026-01-10 09:02:00
4,4,1,1.00,8,Good,2026-01-10 09:03:00
5,2,3,1.20,10,Good,2026-01-10 09:04:00
6,3,2,1.20,10,Good,2026-01-10 09:05:00
7,2,5,1.50,12,Fair,2026-01-10 09:06:00
8,5,2,1.50,12,Fair,2026-01-10 09:07:00
9,2,6,1.40,11,Good,2026-01-10 09:08:00
10,6,2,1.40,11,Good,2026-01-10 09:09:00
11,3,4,0.86,7,Excellent,2026-01-10 09:10:00
12,4,3,0.86,7,Excellent,2026-01-10 09:11:00
13,3,5,0.90,7,Excellent,2026-01-10 09:12:00
14,5,3,0.90,7,Excellent,2026-01-10 09:13:00
15,3,6,0.70,5,Excellent,2026-01-10 09:14:00
16,6,3,0.70,5,Excellent,2026-01-10 09:15:00
17,4,5,1.03,7,Good,2026-01-10 09:16:00
18,5,4,1.03,7,Good,2026-01-10 09:17:00
19,5,6,1.20,11,Fair,2026-01-10 09:18:00
20,6,5,1.20,11,Fair,2026-01-10 09:19:00
21,5,7,0.90,7,Fair,2026-01-10 09:20:00
22,7,5,0.90,7,Fair,2026-01-10 09:21:00
23,5,8,1.10,9,Good,2026-01-10 09:22:00
24,8,5,1.10,9,Good,2026-01-10 09:23:00
25,6,7,0.47,5,Excellent,2026-01-10 09:24:00
26,7,6,0.47,5,Excellent,2026-01-10 09:25:00
27,6,8,1.30,9,Good,2026-01-10 09:26:00
28,8,6,1.30,9,Good,2026-01-10 09:27:00
29,7,8,0.60,6,Excellent,2026-01-10 09:28:00
30,8,7,0.60,6,Excellent,2026-01-10 09:29:00
31,7,10,1.20,10,Fair,2026-01-10 09:30:00
32,10,7,1.20,10,Fair,2026-01-10 09:31:00
33,8,9,0.81,6,Fair,2026-01-10 09:32:00
34,9,8,0.81,6,Fair,2026-01-10 09:33:00
35,8,12,1.50,12,Good,2026-01-10 09:34:00
36,12,8,1.50,12,Good,2026-01-10 09:35:00
37,9,10,0.98,10,Excellent,2026-01-10 09:36:00
38,10,9,0.98,10,Excellent,2026-01-10 09:37:00
39,10,11,1.15,10,Good,2026-01-10 09:38:00
40,11,10,1.15,10,Good,2026-01-10 09:39:00
41,10,14,1.30,10,Excellent,2026-01-10 09:40:00
42,14,10,1.30,10,Excellent,2026-01-10 09:41:00
43,11,12,0.42,4,Fair,2026-01-10 09:42:00
44,12,11,0.42,4,Fair,2026-01-10 09:43:00
45,12,13,0.59,4,Excellent,2026-01-10 09:44:00
46,13,12,0.59,4,Excellent,2026-01-10 09:45:00
47,12,16,1.10,9,Good,2026-01-10 09:46:00
48,16,12,1.10,9,Good,2026-01-10 09:47:00
49,13,14,0.76,8,Good,2026-01-10 09:48:00
50,14,13,0.76,8,Good,2026-01-10 09:49:00
51,14,15,0.93,9,Fair,2026-01-10 09:50:00
52,15,14,0.93,9,Fair,2026-01-10 09:51:00
53,14,18,1.40,11,Fair,2026-01-10 09:52:00
54,18,14,1.40,11,Fair,2026-01-10 09:53:00
55,15,16,1.10,9,Excellent,2026-01-10 09:54:00
56,16,15,1.10,9,Excellent,2026-01-10 09:55:00
57,16,17,0.37,3,Good,2026-01-10 09:56:00
58,17,16,0.37,3,Good,2026-01-10 09:57:00
59,16,20,1.20,9,Good,2026-01-10 09:58:00
60,20,16,1.20,9,Good,2026-01-10 09:59:00
61,17,18,0.54,7,Fair,2026-01-10 10:00:00
62,18,17,0.54,7,Fair,2026-01-10 10:01:00
63,18,19,0.71,7,Excellent,2026-01-10 10:02:00
64,19,18,0.71,7,Excellent,2026-01-10 10:03:00
65,18,22,1.00,8,Excellent,2026-01-10 10:04:00
66,22,18,1.00,8,Excellent,2026-01-10 10:05:00
67,19,20,0.88,7,Good,2026-01-10 10:06:00
68,20,19,0.88,7,Good,2026-01-10 10:07:00
69,20,21,1.05,7,Fair,2026-01-10 10:08:00
70,21,20,1.05,7,Fair,2026-01-10 10:09:00
71,20,25,1.60,13,Fair,2026-01-10 10:10:00
72,25,20,1.60,13,Fair,2026-01-10 10:11:00
73,21,22,1.22,12,Excellent,2026-01-10 10:12:00
74,22,21,1.22,12,Excellent,2026-01-10 10:13:00
75,22,23,0.49,5,Good,2026-01-10 10:14:00
76,23,22,0.49,5,Good,2026-01-10 10:15:00
77,22,27,1.30,10,Good,2026-01-10 10:16:00
78,27,22,1.30,10,Good,2026-01-10 10:17:00
79,23,24,0.66,6,Fair,2026-01-10 10:18:00
80,24,23,0.66,6,Fair,2026-01-10 10:19:00
81,24,25,0.83,6,Excellent,2026-01-10 10:20:00
82,25,24,0.83,6,Excellent,2026-01-10 10:21:00
83,24,29,1.20,9,Excellent,2026-01-10 10:22:00
84,29,24,1.20,9,Excellent,2026-01-10 10:23:00
85,25,26,1.00,10,Good,2026-01-10 10:24:00
86,26,25,1.00,10,Good,2026-01-10 10:25:00
87,26,27,1.17,10,Fair,2026-01-10 10:26:00
88,27,26,1.17,10,Fair,2026-01-10 10:27:00
89,26,31,1.40,11,Good,2026-01-10 10:28:00
90,31,26,1.40,11,Good,2026-01-10 10:29:00
91,27,28,0.44,4,Excellent,2026-01-10 10:30:00
92,28,27,0.44,4,Excellent,2026-01-10 10:31:00
93,28,29,0.61,4,Good,2026-01-10 10:32:00
94,29,28,0.61,4,Good,2026-01-10 10:33:00
95,28,33,1.10,9,Fair,2026-01-10 10:34:00
96,33,28,1.10,9,Fair,2026-01-10 10:35:00
97,29,30,0.78,8,Fair,2026-01-10 10:36:00
98,30,29,0.78,8,Fair,2026-01-10 10:37:00
99,30,31,0.95,9,Excellent,2026-01-10 10:38:00
100,31,30,0.95,9,Excellent,2026-01-10 10:39:00
101,30,35,1.50,12,Good,2026-01-10 10:40:00
102,35,30,1.50,12,Good,2026-01-10 10:41:00
103,31,32,1.12,9,Good,2026-01-10 10:42:00
104,32,31,1.12,9,Good,2026-01-10 10:43:00
105,32,33,0.39,3,Fair,2026-01-10 10:44:00
106,33,32,0.39,3,Fair,2026-01-10 10:45:00
107,32,38,1.40,11,Excellent,2026-01-10 10:46:00
108,38,32,1.40,11,Excellent,2026-01-10 10:47:00
109,33,34,0.56,7,Excellent,2026-01-10 10:48:00
110,34,33,0.56,7,Excellent,2026-01-10 10:49:00
111,34,35,0.73,7,Good,2026-01-10 10:50:00
112,35,34,0.73,7,Good,2026-01-10 10:51:00
113,34,40,1.20,9,Good,2026-01-10 10:52:00
114,40,34,1.20,9,Good,2026-01-10 10:53:00
115,35,36,0.90,7,Fair,2026-01-10 10:54:00
116,36,35,0.90,7,Fair,2026-01-10 10:55:00
117,36,37,1.07,7,Excellent,2026-01-10 10:56:00
118,37,36,1.07,7,Excellent,2026-01-10 10:57:00
119,36,43,1.60,13,Fair,2026-01-10 10:58:00
120,43,36,1.60,13,Fair,2026-01-10 10:59:00
121,37,38,1.24,12,Good,2026-01-10 11:00:00
122,38,37,1.24,12,Good,2026-01-10 11:01:00
123,38,39,0.51,6,Fair,2026-01-10 11:02:00
124,39,38,0.51,6,Fair,2026-01-10 11:03:00
125,39,40,0.68,6,Excellent,2026-01-10 11:04:00
126,40,39,0.68,6,Excellent,2026-01-10 11:05:00
127,39,45,1.30,10,Good,2026-01-10 11:06:00
128,45,39,1.30,10,Good,2026-01-10 11:07:00
129,40,41,0.85,6,Good,2026-01-10 11:08:00
130,41,40,0.85,6,Good,2026-01-10 11:09:00
131,41,42,1.02,10,Fair,2026-01-10 11:10:00
132,42,41,1.02,10,Fair,2026-01-10 11:11:00
133,41,48,1.10,9,Excellent,2026-01-10 11:12:00
134,48,41,1.10,9,Excellent,2026-01-10 11:13:00
135,42,43,1.19,10,Excellent,2026-01-10 11:14:00
136,43,42,1.19,10,Excellent,2026-01-10 11:15:00
137,43,44,0.46,4,Good,2026-01-10 11:16:00
138,44,43,0.46,4,Good,2026-01-10 11:17:00
139,44,45,0.63,4,Fair,2026-01-10 11:18:00
140,45,44,0.63,4,Fair,2026-01-10 11:19:00
141,44,50,1.50,12,Good,2026-01-10 11:20:00
142,50,44,1.50,12,Good,2026-01-10 11:21:00
143,45,46,0.80,9,Excellent,2026-01-10 11:22:00
144,46,45,0.80,9,Excellent,2026-01-10 11:23:00
145,46,47,0.97,9,Good,2026-01-10 11:24:00
146,47,46,0.97,9,Good,2026-01-10 11:25:00
147,46,53,1.40,11,Fair,2026-01-10 11:26:00
148,53,46,1.40,11,Fair,2026-01-10 11:27:00
149,47,48,1.14,9,Fair,2026-01-10 11:28:00
150,48,47,1.14,9,Fair,2026-01-10 11:29:00
151,48,49,0.41,3,Excellent,2026-01-10 11:30:00
152,49,48,0.41,3,Excellent,2026-01-10 11:31:00
153,49,50,0.58,7,Good,2026-01-10 11:32:00
154,50,49,0.58,7,Good,2026-01-10 11:33:00
155,49,55,1.20,9,Good,2026-01-10 11:34:00
156,55,49,1.20,9,Good,2026-01-10 11:35:00
157,50,51,0.75,7,Fair,2026-01-10 11:36:00
158,51,50,0.75,7,Fair,2026-01-10 11:37:00
159,51,52,0.92,7,Excellent,2026-01-10 11:38:00
160,52,51,0.92,7,Excellent,2026-01-10 11:39:00
161,52,53,1.09,8,Good,2026-01-10 11:40:00
162,53,52,1.09,8,Good,2026-01-10 11:41:00
163,52,58,1.60,13,Excellent,2026-01-10 11:42:00
164,58,52,1.60,13,Excellent,2026-01-10 11:43:00
165,53,54,0.36,6,Fair,2026-01-10 11:44:00
166,54,53,0.36,6,Fair,2026-01-10 11:45:00
167,54,55,0.53,6,Excellent,2026-01-10 11:46:00
168,55,54,0.53,6,Excellent,2026-01-10 11:47:00
169,54,61,1.30,10,Good,2026-01-10 11:48:00
170,61,54,1.30,10,Good,2026-01-10 11:49:00
171,55,56,0.70,6,Good,2026-01-10 11:50:00
172,56,55,0.70,6,Good,2026-01-10 11:51:00
